instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,2753,30,30,FEASIBLE,4,12.503,15000,0.0054058,4
r_n150_p0.5_nA30_nB15_i0,heur_semigreedy2s_v2_a0.1,0,150,5641,30,15,FEASIBLE,6,17.9542,15000,4.86487,4121
r_n100_p0.5_nA10_nB20_i0,heur_semigreedy2s_v2_a0.1,0,100,2512,10,20,FEASIBLE,2,3.62759,10000,0.000648442,0
r_n150_p0.5_nA15_nB15_i0,heur_semigreedy2s_v2_a0.1,0,150,5546,15,15,FEASIBLE,3,13.1218,15000,0.00940467,10
r_n100_p0.75_nA20_nB20_i2,heur_semigreedy2s_v2_a0.1,0,100,3677,20,20,FEASIBLE,6,4.86806,10000,0.636228,1323
r_n150_p0.25_nA30_nB15_i1,heur_semigreedy2s_v2_a0.1,0,150,2805,30,15,FEASIBLE,4,9.63677,15000,0.0819935,130
r_n150_p0.5_nA15_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,5614,15,30,FEASIBLE,3,17.7862,15000,0.0467494,31
r_n150_p0.75_nA15_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,8362,15,30,FEASIBLE,4,16.4528,15000,0.887809,814
r_n150_p0.25_nA15_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,2772,15,30,FEASIBLE,2,8.04777,15000,0.00360426,4
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.1,0,150,8301,30,30,FEASIBLE,8,56.0164,15000,0.10214,23
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.1,0,150,8404,30,30,FEASIBLE,8,24.3153,15000,13.723,8211
r_n150_p0.25_nA15_nB30_i1,heur_semigreedy2s_v2_a0.1,0,150,2756,15,30,FEASIBLE,2,8.51479,15000,0.00767535,9
r_n150_p0.75_nA30_nB15_i1,heur_semigreedy2s_v2_a0.1,0,150,8405,30,15,FEASIBLE,9,7.90202,15000,2.03859,3872
r_n100_p0.25_nA10_nB20_i1,heur_semigreedy2s_v2_a0.1,0,100,1262,10,20,FEASIBLE,2,2.02808,10000,0.000302982,0
r_n100_p0.25_nA20_nB20_i2,heur_semigreedy2s_v2_a0.1,0,100,1245,20,20,FEASIBLE,3,2.82056,10000,0.000472219,0
r_n100_p0.25_nA10_nB10_i0,heur_semigreedy2s_v2_a0.1,0,100,1244,10,10,FEASIBLE,1,1.8822,10000,0.106882,519
r_n100_p0.25_nA10_nB10_i2,heur_semigreedy2s_v2_a0.1,0,100,1275,10,10,FEASIBLE,1,1.81107,10000,0.0125583,59
r_n100_p0.25_nA20_nB20_i1,heur_semigreedy2s_v2_a0.1,0,100,1269,20,20,FEASIBLE,3,2.7166,10000,0.00116392,2
r_n150_p0.25_nA15_nB15_i1,heur_semigreedy2s_v2_a0.1,0,150,2818,15,15,FEASIBLE,2,7.68781,15000,0.0116968,15
r_n100_p0.25_nA10_nB20_i0,heur_semigreedy2s_v2_a0.1,0,100,1228,10,20,FEASIBLE,2,2.02645,10000,0.000502937,0
r_n100_p0.75_nA10_nB10_i0,heur_semigreedy2s_v2_a0.1,0,100,3716,10,10,FEASIBLE,3,2.94721,10000,0.00709669,14
r_n150_p0.5_nA15_nB15_i2,heur_semigreedy2s_v2_a0.1,0,150,5579,15,15,FEASIBLE,3,14.0684,15000,0.034168,24
